Station Name,State,Latitude,Longitude,Year,Total Days
CITY OF COLORADO SPRINGS MUNICIPAL AP,CO,38.809,-104.689,2013,48
ALBUQUERQUE INTL SUNPORT AIRPORT,NM,35.042,-106.615,2013,40
AUSTIN STRAUBEL INTERNATIONAL AP,WI,44.48,-88.137,2013,39
GREATER ROCHESTER INTERNATIONAL AP,NY,43.117,-77.675,2013,39
MANCHESTER AIRPORT,NH,42.93,-71.436,2013,39
PORTLAND INTERNATIONAL JETPORT AP,ME,43.642,-70.304,2013,39
BURLINGTON INTERNATIONAL AIRPORT,VT,44.468,-73.15,2013,38
DULUTH INTERNATIONAL AIRPORT,MN,46.844,-92.187,2013,38
GEN E L LOGAN INTERNATIONAL AIRPORT,MA,42.361,-71.01,2013,38
ALBANY INTERNATIONAL AIRPORT,NY,42.747,-73.799,2013,37
GENERAL MITCHELL INTERNATIONAL AP,WI,42.955,-87.905,2013,37
THEODORE F GREEN STATE AIRPORT,RI,41.723,-71.432,2013,37
HECTOR INTERNATIONAL AIRPORT,ND,46.924,-96.812,2013,36
NATRONA COUNTY INTERNATIONAL AP,WY,42.898,-106.474,2013,35
SYRACUSE HANCOCK INTERNATIONAL AP,NY,43.111,-76.104,2013,35
BRADLEY INTERNATIONAL AIRPORT,CT,41.937,-72.682,2013,33
CHICAGO MIDWAY INTL ARPT,IL,41.784,-87.755,2013,33
JOE FOSS FIELD AIRPORT,SD,43.578,-96.754,2013,33
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MN,44.885,-93.231,2013,33
BUFFALO NIAGARA INTERNATIONAL AP,NY,42.94,-78.736,2013,32
DES MOINES INTERNATIONAL AIRPORT,IA,41.534,-93.653,2013,32
EPPLEY AIRFIELD AIRPORT,NE,41.312,-95.902,2013,32
CHICAGO O'HARE INTERNATIONAL AIRPORT,IL,41.96,-87.932,2013,31
GERALD R FORD INTERNATIONAL AIRPORT,MI,42.882,-85.523,2013,31
JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.764,2013,31
LINCOLN MUNICIPAL AIRPORT,NE,40.848,-96.765,2013,31
GALLATIN FIELD AIRPORT,MT,45.788,-111.162,2013,30
NEWARK LIBERTY INTERNATIONAL AP,NJ,40.683,-74.169,2013,30
DETROIT METRO WAYNE COUNTY AIRPORT,MI,42.231,-83.331,2013,29
LA GUARDIA AIRPORT,NY,40.779,-73.88,2013,29
CLEVELAND-HOPKINS INTERNATIONAL AP,OH,41.406,-81.852,2013,28
EASTERN IOWA REGIONAL AIRPORT,IA,41.883,-91.725,2013,28
JUNEAU INTERNATIONAL,AK,58.354,-134.556,2013,27
TRENTON MERCER AIRPORT,NJ,40.277,-74.816,2013,26
ATLANTIC CITY INTERNATIONAL AIRPORT,NJ,39.452,-74.567,2013,25
TED STEVENS ANCHORAGE INTL,AK,61.169,-150.028,2013,25
WICHITA EISENHOWER NATIONAL,KS,37.648,-97.43,2013,25
BILLINGS LOGAN INTERNATIONAL AIRPORT,MT,45.807,-108.546,2013,24
NORFOLK INTERNATIONAL AIRPORT,VA,36.904,-76.193,2013,24
RONALD REAGAN WASHINGTON NATL AP,VA,38.847,-77.035,2013,24
BALTIMORE-WASHINGTON INTL AIRPORT,MD,39.173,-76.684,2013,23
FORT WAYNE INTERNATIONAL AIRPORT,IN,40.972,-85.206,2013,23
HARRISBURG INTERNATIONAL AIRPORT,PA,40.196,-76.772,2013,23
SALT LAKE CITY INTERNATIONAL AIRPORT,UT,40.771,-111.965,2013,23
ABRAHAM LINCOLN CAPITAL AIRPORT,IL,39.845,-89.684,2013,22
J.M.COX DAYTON INTERNATIONAL AIRPORT,OH,39.906,-84.219,2013,22
NWPT NEWS/WIMBURG INTL APT,VA,37.132,-76.494,2013,22
PHILADELPHIA INTERNATIONAL AIRPORT,PA,39.873,-75.227,2013,22
FAIRBANKS INTERNATIONAL,AK,64.803,-147.876,2013,21
KANSAS CITY INTERNATIONAL AIRPORT,MO,39.297,-94.731,2013,21
PITTSBURGH INTERNATIONAL AIRPORT,PA,40.485,-80.214,2013,21
RICHMOND INTERNATIONAL AIRPORT,VA,37.512,-77.323,2013,21
ANDREWS AIR FORCE BASE AIRPORT,MD,38.817,-76.867,2013,20
PORT COLUMBUS INTERNATIONAL AIRPORT,OH,39.991,-82.877,2013,20
WASHINGTON DULLES INTERNATIONAL AP,VA,38.935,-77.447,2013,20
CHARLOTTESVILLE ALBEMARLE ARPT,VA,38.137,-78.455,2013,18
INDIANAPOLIS INTERNATIONAL AIRPORT,IN,39.725,-86.282,2013,18
YEAGER AIRPORT,WV,38.38,-81.591,2013,18
LAMBERT-ST LOUIS INTERNATIONAL AP,MO,38.752,-90.373,2013,17
RENO/TAHOE INTERNATIONAL AIRPORT,NV,39.508,-119.768,2013,17
TULSA INTERNATIONAL AIRPORT,OK,36.199,-95.878,2013,17
CINCINNATI/NORTHERN KENTUCKY INTL AP,KY,39.044,-84.672,2013,16
EL PASO INTERNATIONAL AIRPORT,TX,31.812,-106.377,2013,16
RALEIGH-DURHAM INTERNATIONAL AP,NC,35.892,-78.782,2013,16
LOUISVILLE INTL-STANDIFORD FIELD AP,KY,38.177,-85.731,2013,15
PIEDMONT TRIAD INTERNATIONAL AIRPORT,NC,36.097,-79.943,2013,15
WILMINGTON INTERNATIONAL AIRPORT,NC,34.267,-77.9,2013,15
LITTLE ROCK AFB AIRPORT,AR,34.917,-92.15,2013,14
WILL ROGERS WORLD AIRPORT,OK,35.388,-97.6,2013,14
SPOKANE INTERNATIONAL AIRPORT,WA,47.622,-117.528,2013,13
CHARLESTON AFB/INTERNATIONAL AIRPORT,SC,32.899,-80.041,2013,12
CHARLOTTE/DOUGLAS INTERNATIONAL AP,NC,35.223,-80.954,2013,12
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,47.445,-122.314,2013,12
BOISE AIR TERMINAL/GOWEN FD AIRPORT,ID,43.567,-116.241,2013,11
MEMPHIS INTERNATIONAL AIRPORT,TN,35.056,-89.986,2013,11
DALLAS/FT WORTH INTERNATIONAL AP,TX,32.897,-97.022,2013,9
GREENVILLE-SPARTANBURG INTL AIRPORT,SC,34.906,-82.213,2013,9
MCCARRAN INTERNATIONAL AIRPORT,NV,36.072,-115.163,2013,9
AUSTIN-BERGSTROM INTL AIRPORT,TX,30.183,-97.68,2013,8
BIRMINGHAM INTERNATIONAL AIRPORT,AL,33.565,-86.745,2013,8
HARTSFIELD-JACKSON ATLANTA INTL AP,GA,33.63,-84.442,2013,8
PENSACOLA REGIONAL AIRPORT,FL,30.476,-87.186,2013,8
NASHVILLE INTERNATIONAL AIRPORT,TN,36.111,-86.688,2013,7
PORTLAND INTERNATIONAL AIRPORT,OR,45.596,-122.609,2013,7
SHREVEPORT REGIONAL AIRPORT,LA,32.447,-93.824,2013,7
JACKSON INTERNATIONAL AIRPORT,MS,32.32,-90.078,2013,6
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,AL,34.644,-86.786,2013,5
SAVANNAH/HILTON HEAD INTL AIRPORT,GA,32.131,-81.202,2013,4
G BUSH INTERCONTINENTAL AP/HOUSTON AP,TX,29.984,-95.361,2013,3
SAN ANTONIO INTERNATIONAL AIRPORT,TX,29.544,-98.484,2013,3
TUCSON INTERNATIONAL AIRPORT,AZ,32.132,-110.956,2013,3
GULFPORT-BILOXI INTL ARPT,MS,30.412,-89.081,2013,2
HONOLULU INTERNATIONAL AIRPORT,HI,21.324,-157.939,2013,1
LOUIS ARMSTRONG NEW ORLEANS INTL AP,LA,29.998,-90.278,2013,1
ORLANDO INTERNATIONAL AIRPORT,FL,28.418,-81.324,2013,1
PHOENIX SKY HARBOR INTL AIRPORT,AZ,33.428,-112.004,2013,1
SAN DIEGO INTERNATIONAL AIRPORT,CA,32.734,-117.183,2013,1
FRESNO YOSEMITE INTERNATIONAL AIRPORT,CA,36.78,-119.72,2013,0
FT LAUD/HOLLYWOOD INTL APT,FL,26.079,-80.162,2013,0
J. WAYNE APT-ORANGE CO APT,CA,33.68,-117.867,2013,0
JACKSONVILLE INTERNATIONAL AIRPORT,FL,30.495,-81.694,2013,0
KAHULUI AIRPORT,HI,20.889,-156.435,2013,0
LIHUE AIRPORT,HI,21.98,-159.339,2013,0
LOS ANGELES INTERNATIONAL AIRPORT,CA,33.938,-118.387,2013,0
MAHLON SWEET FIELD AIRPORT,OR,44.133,-123.216,2013,0
MIAMI INTERNATIONAL AIRPORT,FL,25.788,-80.317,2013,0
ONTARIO INTERNATIONAL ARPT,CA,34.053,-117.577,2013,0
SACRAMENTO INTL AIRPORT,CA,38.701,-121.595,2013,0
SAN FRANCISCO INTERNATIONAL AIRPORT,CA,37.62,-122.366,2013,0
SANTA BARBARA MUNICIPAL AIRPORT,CA,34.424,-119.842,2013,0
TAMPA INTERNATIONAL AIRPORT,FL,27.963,-82.54,2013,0
CITY OF COLORADO SPRINGS MUNICIPAL AP,CO,38.809,-104.689,2014,66
HECTOR INTERNATIONAL AIRPORT,ND,46.924,-96.812,2014,52
DENVER INTERNATIONAL AIRPORT,CO,39.847,-104.656,2014,49
JOE FOSS FIELD AIRPORT,SD,43.578,-96.754,2014,49
PORTLAND INTERNATIONAL JETPORT AP,ME,43.642,-70.304,2014,48
NATRONA COUNTY INTERNATIONAL AP,WY,42.898,-106.474,2014,46
LINCOLN MUNICIPAL AIRPORT,NE,40.848,-96.765,2014,45
ALBUQUERQUE INTL SUNPORT AIRPORT,NM,35.042,-106.615,2014,44
GEN E L LOGAN INTERNATIONAL AIRPORT,MA,42.361,-71.01,2014,43
THEODORE F GREEN STATE AIRPORT,RI,41.723,-71.432,2014,42
BRADLEY INTERNATIONAL AIRPORT,CT,41.937,-72.682,2014,41
EASTERN IOWA REGIONAL AIRPORT,IA,41.883,-91.725,2014,41
EPPLEY AIRFIELD AIRPORT,NE,41.312,-95.902,2014,41
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MN,44.885,-93.231,2014,41
MANCHESTER AIRPORT,NH,42.93,-71.436,2014,40
DULUTH INTERNATIONAL AIRPORT,MN,46.844,-92.187,2014,37
GENERAL MITCHELL INTERNATIONAL AP,WI,42.955,-87.905,2014,37
JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.764,2014,37
LA GUARDIA AIRPORT,NY,40.779,-73.88,2014,37
DETROIT METRO WAYNE COUNTY AIRPORT,MI,42.231,-83.331,2014,36
AUSTIN STRAUBEL INTERNATIONAL AP,WI,44.48,-88.137,2014,35
BILLINGS LOGAN INTERNATIONAL AIRPORT,MT,45.807,-108.546,2014,35
BURLINGTON INTERNATIONAL AIRPORT,VT,44.468,-73.15,2014,35
CHICAGO MIDWAY INTL ARPT,IL,41.784,-87.755,2014,35
DES MOINES INTERNATIONAL AIRPORT,IA,41.534,-93.653,2014,35
NEWARK LIBERTY INTERNATIONAL AP,NJ,40.683,-74.169,2014,35
CHICAGO O'HARE INTERNATIONAL AIRPORT,IL,41.96,-87.932,2014,34
TRENTON MERCER AIRPORT,NJ,40.277,-74.816,2014,34
SYRACUSE HANCOCK INTERNATIONAL AP,NY,43.111,-76.104,2014,33
ALBANY INTERNATIONAL AIRPORT,NY,42.747,-73.799,2014,31
ATLANTIC CITY INTERNATIONAL AIRPORT,NJ,39.452,-74.567,2014,31
BUFFALO NIAGARA INTERNATIONAL AP,NY,42.94,-78.736,2014,31
GERALD R FORD INTERNATIONAL AIRPORT,MI,42.882,-85.523,2014,31
GREATER ROCHESTER INTERNATIONAL AP,NY,43.117,-77.675,2014,31
PHILADELPHIA INTERNATIONAL AIRPORT,PA,39.873,-75.227,2014,30
ABRAHAM LINCOLN CAPITAL AIRPORT,IL,39.845,-89.684,2014,29
LAMBERT-ST LOUIS INTERNATIONAL AP,MO,38.752,-90.373,2014,29
EL PASO INTERNATIONAL AIRPORT,TX,31.812,-106.377,2014,28
